Comment-Id,Post-id,Posting-User-Id,Likes,Commenting-User-Id, Comment
0,0,4,56,7,Some Random Commen with Id 0
1,1,2,165,9,Some Random Commen with Id 1
2,1,2,160,8,Some Random Commen with Id 2
3,2,7,198,3,Some Random Commen with Id 3
4,2,7,129,0,Some Random Commen with Id 4
5,2,7,38,3,Some Random Commen with Id 5
6,2,7,138,9,Some Random Commen with Id 6
7,2,7,19,9,Some Random Commen with Id 7
8,2,7,41,4,Some Random Commen with Id 8
9,2,7,176,3,Some Random Commen with Id 9
10,3,6,113,1,Some Random Commen with Id 10
11,3,6,122,8,Some Random Commen with Id 11
12,3,6,26,0,Some Random Commen with Id 12
13,3,6,57,3,Some Random Commen with Id 13
14,3,6,3,6,Some Random Commen with Id 14
15,3,6,120,5,Some Random Commen with Id 15
16,3,6,36,3,Some Random Commen with Id 16
17,3,6,154,0,Some Random Commen with Id 17
18,4,7,126,2,Some Random Commen with Id 18
19,4,7,151,9,Some Random Commen with Id 19
20,5,6,39,6,Some Random Commen with Id 20
21,5,6,140,2,Some Random Commen with Id 21
22,5,6,77,9,Some Random Commen with Id 22
23,5,6,113,7,Some Random Commen with Id 23
24,5,6,160,5,Some Random Commen with Id 24
25,5,6,88,2,Some Random Commen with Id 25
26,5,6,106,1,Some Random Commen with Id 26
27,5,6,112,5,Some Random Commen with Id 27
28,5,6,160,0,Some Random Commen with Id 28
29,6,2,39,8,Some Random Commen with Id 29
30,6,2,128,4,Some Random Commen with Id 30
31,6,2,17,5,Some Random Commen with Id 31
32,6,2,36,5,Some Random Commen with Id 32
33,6,2,107,7,Some Random Commen with Id 33
34,6,2,117,4,Some Random Commen with Id 34
35,6,2,186,8,Some Random Commen with Id 35
36,7,0,66,2,Some Random Commen with Id 36
37,7,0,104,5,Some Random Commen with Id 37
38,8,5,154,1,Some Random Commen with Id 38
39,8,5,96,6,Some Random Commen with Id 39
40,8,5,137,9,Some Random Commen with Id 40
41,8,5,197,2,Some Random Commen with Id 41
42,8,5,56,6,Some Random Commen with Id 42
43,9,0,116,7,Some Random Commen with Id 43
44,9,0,132,9,Some Random Commen with Id 44
45,9,0,63,3,Some Random Commen with Id 45
46,10,7,159,4,Some Random Commen with Id 46
47,10,7,15,4,Some Random Commen with Id 47
48,10,7,98,6,Some Random Commen with Id 48
49,10,7,116,1,Some Random Commen with Id 49
50,10,7,128,1,Some Random Commen with Id 50
51,10,7,172,6,Some Random Commen with Id 51
52,10,7,60,6,Some Random Commen with Id 52
53,11,7,144,1,Some Random Commen with Id 53
54,11,7,46,4,Some Random Commen with Id 54
55,11,7,5,5,Some Random Commen with Id 55
56,11,7,16,3,Some Random Commen with Id 56
57,11,7,196,8,Some Random Commen with Id 57
58,13,2,71,5,Some Random Commen with Id 58
59,13,2,56,7,Some Random Commen with Id 59
60,13,2,2,8,Some Random Commen with Id 60
61,13,2,76,5,Some Random Commen with Id 61
62,13,2,71,4,Some Random Commen with Id 62
63,13,2,172,9,Some Random Commen with Id 63
64,13,2,97,6,Some Random Commen with Id 64
65,14,3,181,3,Some Random Commen with Id 65
66,14,3,49,9,Some Random Commen with Id 66
67,14,3,72,1,Some Random Commen with Id 67
68,14,3,50,2,Some Random Commen with Id 68
69,14,3,175,1,Some Random Commen with Id 69
70,14,3,50,8,Some Random Commen with Id 70
71,14,3,194,7,Some Random Commen with Id 71
72,14,3,94,2,Some Random Commen with Id 72
73,14,3,198,2,Some Random Commen with Id 73
74,15,7,95,8,Some Random Commen with Id 74
75,15,7,177,4,Some Random Commen with Id 75
76,15,7,150,5,Some Random Commen with Id 76
77,15,7,137,1,Some Random Commen with Id 77
78,15,7,188,8,Some Random Commen with Id 78
79,15,7,166,1,Some Random Commen with Id 79
80,15,7,3,5,Some Random Commen with Id 80
81,15,7,120,0,Some Random Commen with Id 81
82,16,5,131,2,Some Random Commen with Id 82
83,16,5,92,8,Some Random Commen with Id 83
84,16,5,124,5,Some Random Commen with Id 84
85,16,5,37,9,Some Random Commen with Id 85
86,16,5,170,6,Some Random Commen with Id 86
87,16,5,194,8,Some Random Commen with Id 87
88,16,5,139,6,Some Random Commen with Id 88
89,16,5,66,4,Some Random Commen with Id 89
90,17,0,78,7,Some Random Commen with Id 90
91,17,0,4,5,Some Random Commen with Id 91
92,17,0,163,4,Some Random Commen with Id 92
93,17,0,109,5,Some Random Commen with Id 93
94,17,0,128,8,Some Random Commen with Id 94
95,18,4,171,4,Some Random Commen with Id 95
96,18,4,85,8,Some Random Commen with Id 96
97,18,4,84,1,Some Random Commen with Id 97
98,19,8,37,8,Some Random Commen with Id 98
99,19,8,107,8,Some Random Commen with Id 99
100,19,8,92,3,Some Random Commen with Id 100
101,20,4,63,8,Some Random Commen with Id 101
102,20,4,49,3,Some Random Commen with Id 102
103,20,4,3,4,Some Random Commen with Id 103
104,20,4,151,7,Some Random Commen with Id 104
105,20,4,145,8,Some Random Commen with Id 105
106,21,1,174,2,Some Random Commen with Id 106
107,21,1,87,4,Some Random Commen with Id 107
108,21,1,133,2,Some Random Commen with Id 108
109,21,1,195,0,Some Random Commen with Id 109
110,21,1,59,3,Some Random Commen with Id 110
111,21,1,127,7,Some Random Commen with Id 111
112,21,1,150,2,Some Random Commen with Id 112
113,21,1,173,9,Some Random Commen with Id 113
114,21,1,19,8,Some Random Commen with Id 114
115,22,1,107,5,Some Random Commen with Id 115
116,23,7,97,2,Some Random Commen with Id 116
117,23,7,175,3,Some Random Commen with Id 117
118,23,7,154,6,Some Random Commen with Id 118
119,23,7,79,4,Some Random Commen with Id 119
120,23,7,113,4,Some Random Commen with Id 120
121,23,7,32,1,Some Random Commen with Id 121
122,24,5,42,2,Some Random Commen with Id 122
123,24,5,188,9,Some Random Commen with Id 123
124,24,5,57,4,Some Random Commen with Id 124
125,24,5,124,7,Some Random Commen with Id 125
126,24,5,125,3,Some Random Commen with Id 126
127,24,5,81,8,Some Random Commen with Id 127
128,24,5,66,3,Some Random Commen with Id 128
129,24,5,32,2,Some Random Commen with Id 129
130,25,7,115,0,Some Random Commen with Id 130
131,25,7,104,2,Some Random Commen with Id 131
132,25,7,179,6,Some Random Commen with Id 132
133,26,5,159,4,Some Random Commen with Id 133
134,26,5,54,3,Some Random Commen with Id 134
135,26,5,85,2,Some Random Commen with Id 135
136,26,5,157,7,Some Random Commen with Id 136
137,26,5,196,0,Some Random Commen with Id 137
138,26,5,190,8,Some Random Commen with Id 138
139,27,8,6,2,Some Random Commen with Id 139
140,28,2,55,9,Some Random Commen with Id 140
141,28,2,76,5,Some Random Commen with Id 141
142,28,2,144,3,Some Random Commen with Id 142
143,28,2,101,2,Some Random Commen with Id 143
144,29,2,174,6,Some Random Commen with Id 144
145,29,2,167,2,Some Random Commen with Id 145
146,29,2,10,1,Some Random Commen with Id 146
147,29,2,126,3,Some Random Commen with Id 147
148,30,9,160,8,Some Random Commen with Id 148
149,30,9,118,7,Some Random Commen with Id 149
150,30,9,74,5,Some Random Commen with Id 150
151,30,9,160,2,Some Random Commen with Id 151
152,31,3,36,3,Some Random Commen with Id 152
153,31,3,167,9,Some Random Commen with Id 153
154,31,3,162,2,Some Random Commen with Id 154
155,31,3,31,7,Some Random Commen with Id 155
156,31,3,133,5,Some Random Commen with Id 156
157,31,3,93,5,Some Random Commen with Id 157
158,31,3,81,8,Some Random Commen with Id 158
159,33,4,164,3,Some Random Commen with Id 159
160,33,4,198,7,Some Random Commen with Id 160
161,33,4,64,1,Some Random Commen with Id 161
162,33,4,103,7,Some Random Commen with Id 162
163,33,4,121,9,Some Random Commen with Id 163
164,34,6,45,9,Some Random Commen with Id 164
165,34,6,49,1,Some Random Commen with Id 165
166,34,6,144,8,Some Random Commen with Id 166
167,34,6,182,7,Some Random Commen with Id 167
168,34,6,93,2,Some Random Commen with Id 168
169,34,6,197,6,Some Random Commen with Id 169
170,35,5,94,6,Some Random Commen with Id 170
171,35,5,100,4,Some Random Commen with Id 171
172,35,5,121,1,Some Random Commen with Id 172
173,35,5,4,3,Some Random Commen with Id 173
174,35,5,73,0,Some Random Commen with Id 174
175,35,5,8,5,Some Random Commen with Id 175
176,35,5,3,1,Some Random Commen with Id 176
177,35,5,79,5,Some Random Commen with Id 177
178,35,5,121,4,Some Random Commen with Id 178
179,36,6,157,3,Some Random Commen with Id 179
180,36,6,116,3,Some Random Commen with Id 180
181,36,6,76,3,Some Random Commen with Id 181
182,36,6,133,2,Some Random Commen with Id 182
183,38,9,75,2,Some Random Commen with Id 183
184,38,9,163,0,Some Random Commen with Id 184
185,38,9,157,4,Some Random Commen with Id 185
186,38,9,98,3,Some Random Commen with Id 186
187,38,9,136,7,Some Random Commen with Id 187
188,39,5,182,3,Some Random Commen with Id 188
189,39,5,39,8,Some Random Commen with Id 189
190,39,5,117,7,Some Random Commen with Id 190
191,39,5,113,5,Some Random Commen with Id 191
192,39,5,166,7,Some Random Commen with Id 192
193,39,5,97,8,Some Random Commen with Id 193
194,39,5,105,0,Some Random Commen with Id 194
